"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"CP Tank Pasta"|"200"|"Pizza,Fast Food"|"Mumbai"|"Charni Road"|"https://www.zomato.com/mumbai/cp-tank-pasta-charni-road/info"|"193"|"Quick Bites"|"2pm to 12midnight(Mon-Sun)"|"Good"|"3.8"|"84"
"Apollo Restaurant"|"600"|"Fast Food,Chinese"|"Mumbai"|"Majiwada-- Thane West"|"https://www.zomato.com/mumbai/apollo-restaurant-majiwada-thane-west-thane/info"|"193"|"Quick Bites"|"11am to 1230AM(Mon-Sun)"|"Average"|"3.4"|"8"
"Gazal"|"800"|"North Indian,Chinese,Mughlai"|"Mumbai"|"Majiwada-- Thane West"|"https://www.zomato.com/mumbai/gazal-majiwada-thane-west-thane/info"|"193"|"Casual Dining"|"6pm to 1am(Mon-Sun)"|"Average"|"2.8"|"28"
"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Coastal Spice"|"700"|"North Indian,Chinese,Seafood,Fast Food,Biryani"|"Mumbai"|"Airoli"|"https://www.zomato.com/mumbai/coastal-spice-airoli-navi-mumbai/info"|"194"|"Casual Dining"|"11am to 1am(Mon-Sun)"|"Good"|"3.5"|"61"
"Ashirwad"|"850"|"North Indian,Mughlai,Chinese,Biryani"|"Mumbai"|"Dadar East"|"https://www.zomato.com/mumbai/ashirwad-dadar-east/info"|"194"|"Casual Dining"|"1130am to 130am(Mon-Sun)"|"Good"|"3.7"|"127"
"Captain Cook"|"1000"|"Chinese,North Indian"|"Mumbai"|"Mumbai Central"|"https://www.zomato.com/mumbai/captain-cook-mumbai-central/info"|"194"|"Casual Dining"|"1130am to 130am(Mon-Sun)"|"Good"|"3.5"|"35"
"Hotel A-1 Darbar"|"500"|"Chinese,North Indian,Mughlai"|"Mumbai"|"Jogeshwari"|"https://www.zomato.com/mumbai/hotel-a-1-darbar-jogeshwari/info"|"194"|"Casual Dining"|"8am to 1230AM(Mon-Sun)"|"Average"|"3.2"|"21"
"Dhanraj"|"600"|"Chinese,Fast Food,North Indian,Seafood"|"Mumbai"|"Chembur"|"https://www.zomato.com/mumbai/dhanraj-chembur/info"|"194"|"Casual Dining"|"11am to 1230AM(Mon-Sun)"|"Average"|"3.2"|"23"
"A Cafe Kitchen"|"500"|"Fast Food,Italian,Desserts,Healthy Food,Burger,Salad"|"Mumbai"|"Azad Nagar"|"https://www.zomato.com/mumbai/a-cafe-kitchen-azad-nagar/info"|"194"|"none"|"830am to 6am(Mon-Sun)"|"Average"|"3.2"|"70"
"King Of Kulfi"|"100"|"Desserts,Ice Cream"|"Mumbai"|"Dadar East"|"https://www.zomato.com/mumbai/king-of-kulfi-1-dadar-east/info"|"194"|"Dessert Parlor"|"11am to 1245AM(Mon-Sun)"|"Average"|"3.1"|"29"
"Vaishnu Hotel"|"500"|"Chinese,North Indian"|"Mumbai"|"Ulhasnagar"|"https://www.zomato.com/mumbai/vaishnu-hotel-ulhasnagar-thane/info"|"194"|"Casual Dining"|"1030am to 1am(Mon-Sun)"|"None"|"NEW"|"NEW"
"Santosh Hotel"|"300"|"North Indian,Fast Food"|"Mumbai"|"Vile Parle East"|"https://www.zomato.com/mumbai/santosh-hotel-vile-parle-east/info"|"194"|"Quick Bites"|"11am to 4pm,7pm to 1230AM(Mon-Sun)"|"None"|"NEW"|"NEW"
"Punjab Da Chullah- Bar Bank"|"500"|"Fast Food,North Indian"|"Mumbai"|"Bar Bank-- Juhu"|"https://www.zomato.com/mumbai/punjab-da-chullah-bar-bank-juhu/info"|"194"|"Food Truck"|"12noon to 1am(Mon-Sun)"|"Average"|"3.4"|"26"
"Al Kebabi"|"500"|"BBQ,Chinese,Lebanese"|"Mumbai"|"Byculla"|"https://www.zomato.com/mumbai/al-kebabi-byculla/info"|"194"|"Quick Bites"|"6pm to 2am(Mon-Sun)"|"Average"|"3.3"|"4"
"Ashvita"|"600"|"North Indian,Chinese,Seafood"|"Mumbai"|"Kamothe"|"https://www.zomato.com/mumbai/ashvita-kamothe-navi-mumbai/info"|"194"|"Casual Dining"|"12midnight to 1230AM,1130am to 12midnight..."|"Good"|"3.5"|"98"
"Raju's Chinese Corner"|"400"|"Chinese"|"Mumbai"|"Borivali West"|"https://www.zomato.com/mumbai/rajus-chinese-corner-borivali-west/info"|"194"|"none"|"730pm to 1230AM(Mon,Tue,Wed,Thu,Fri,Sun)..."|"Good"|"3.6"|"44"
"Lime & Spice"|"850"|"North Indian,Chinese,Continental,Seafood"|"Mumbai"|"Dahisar West"|"https://www.zomato.com/mumbai/lime-spice-dahisar-west/info"|"194"|"Casual Dining"|"11am to 1230AM(Mon-Sun)"|"Good"|"3.5"|"167"
"Fried Hut"|"150"|"Fast Food"|"Mumbai"|"Mira Road"|"https://www.zomato.com/mumbai/fried-hut-mira-road/info"|"194"|"Quick Bites"|"11am to 2am(Mon-Sun)"|"Average"|"2.7"|"64"
"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Sai Sagar"|"700"|"North Indian,South Indian,Chinese"|"Mumbai"|"Ghodbunder Road"|"https://www.zomato.com/mumbai/sai-sagar-ghodbunder-road-thane/info"|"195"|"Casual Dining"|"11am to 1230AM(Mon-Sun)"|"Average"|"2.8"|"142"
"Samosas Vadilal"|"150"|"Desserts,Ice Cream,Street Food"|"Mumbai"|"Powai"|"https://www.zomato.com/mumbai/samosas-vadilal-powai/info"|"195"|"Quick Bites"|"9am to 1230AM(Mon-Sun)"|"Good"|"3.9"|"199"
"Plateful India"|"400"|"Fast Food,Sandwich,Burger,Beverages"|"Mumbai"|"Nerul"|"https://www.zomato.com/mumbai/plateful-india-1-nerul-navi-mumbai/info"|"195"|"Quick Bites"|"4pm to 2am(Mon,Tue,Thu,Fri,Sat,Sun),Closed..."|"Good"|"3.7"|"37"
"Kebab-e-Hind"|"250"|"North Indian,Mughlai"|"Mumbai"|"Near Andheri West Station"|"https://www.zomato.com/mumbai/kebab-e-hind-near-andheri-west-station/info"|"195"|"Quick Bites"|"12noon to 3am(Mon-Sun)"|"Average"|"3.2"|"8"
"Feast2Fit"|"300"|"Chinese"|"Mumbai"|"Jogeshwari"|"https://www.zomato.com/mumbai/feast2fit-jogeshwari/info"|"195"|"Quick Bites"|"1130am to 1am(Mon-Sun)"|"Good"|"3.5"|"29"
"King Of China"|"300"|"Chinese,North Indian"|"Mumbai"|"Versova-- Andheri West"|"https://www.zomato.com/mumbai/king-of-china-versova/info"|"195"|"Quick Bites"|"11am to 1am(Mon-Sun)"|"Not rated"|"-"|"-"
"Arabicano"|"400"|"Pizza,Arabian,Sandwich,Burger"|"Mumbai"|"Borivali West"|"https://www.zomato.com/mumbai/arabicano-borivali-west/info"|"195"|"none"|"12noon to 6am(Mon),11am to 6am(Tue-Sun)"|"Average"|"3.3"|"315"
"Drink Eat Repeat"|"900"|"Chinese,Italian,North Indian"|"Mumbai"|"CBD-Belapur"|"https://www.zomato.com/mumbai/drink-eat-repeat-cbd-belapur-navi-mumbai/info"|"195"|"Bar"|"1130am to 1am(Mon-Sun)"|"Very Good"|"4.1"|"240"
"Arabian Al Lazeez"|"300"|"Lebanese,Mughlai"|"Mumbai"|"Jogeshwari"|"https://www.zomato.com/mumbai/arabian-al-lazeez-2-jogeshwari/info"|"195"|"Quick Bites"|"4pm to 1am(Mon-Sun)"|"Average"|"3.4"|"20"
"Food By Kilo"|"450"|"North Indian,Chinese"|"Mumbai"|"Sion"|"https://www.zomato.com/mumbai/food-by-kilo-sion/info"|"195"|"none"|"12noon to 1am(Mon-Sun)"|"Average"|"3.2"|"25"
"Shree Devi"|"400"|"Chinese,North Indian,Mangalorean,Beverages"|"Mumbai"|"Near Andheri East Station"|"https://www.zomato.com/mumbai/shree-devi-near-andheri-east-station/info"|"195"|"Quick Bites"|"11am to 1230AM(Mon-Sun)"|"Good"|"3.6"|"65"
"Biryania"|"300"|"Biryani"|"Mumbai"|"Mohammad Ali Road"|"https://www.zomato.com/mumbai/biryania-mohammad-ali-road/info"|"195"|"none"|"121AM to 3am,12noon to 4pm,6pm to 12midnight..."|"Good"|"3.8"|"270"
"Eat-O-Logy"|"800"|"North Indian,Rolls"|"Mumbai"|"Pali Hill-- Bandra West"|"https://www.zomato.com/mumbai/eat-o-logy-pali-hill-bandra-west/info"|"195"|"none"|"6pm to 2am(Mon-Sun)"|"Good"|"3.9"|"121"
"The Veg Treat"|"700"|"North Indian,Chinese,Fast Food,South Indian"|"Mumbai"|"Borivali West"|"https://www.zomato.com/mumbai/the-veg-treat-borivali-west/info"|"195"|"Casual Dining"|"10am to 12midnight(Mon-Sun)"|"Good"|"3.7"|"470"
"89 China Town"|"700"|"Chinese,Thai,Seafood"|"Mumbai"|"Mira Road"|"https://www.zomato.com/mumbai/89-china-town-mira-road/info"|"195"|"Casual Dining"|"1130am to 1130pm(Mon-Sun)"|"Average"|"3.4"|"320"
"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Pink Dragon"|"850"|"Chinese,Seafood"|"Mumbai"|"Mira Road"|"https://www.zomato.com/mumbai/pink-dragon-mira-road/info"|"196"|"Casual Dining"|"1130am to 3pm,630pm to 11pm(Mon-Sun)"|"Good"|"3.8"|"274"
"Vishwanand"|"600"|"North Indian,South Indian,Chinese,Fast Food,Beverages"|"Mumbai"|"CBD-Belapur"|"https://www.zomato.com/mumbai/vishwanand-cbd-belapur-navi-mumbai/info"|"196"|"Casual Dining"|"11am to 4pm,7pm to 11pm(Mon-Sun)"|"Good"|"3.8"|"220"
"Ice & Spice"|"300"|"Fast Food"|"Mumbai"|"Malad West"|"https://www.zomato.com/mumbai/ice-spice-malad-west/info"|"196"|"Quick Bites"|"3pm to 11pm(Mon-Sun)"|"Good"|"3.6"|"33"
"Vasant Sagar"|"500"|"Fast Food,Street Food,South Indian,Chinese,Beverages"|"Mumbai"|"Nariman Point"|"https://www.zomato.com/mumbai/vasant-sagar-nariman-point/info"|"196"|"Casual Dining"|"9am to 12midnight(Mon-Sat),5pm to 12midnight(Sun)"|"Good"|"3.8"|"401"
"Radha Krishna"|"600"|"North Indian,Chinese,South Indian,Street Food,Beverages"|"Mumbai"|"Radha Krishna Hotel-- Ghatkopar West"|"https://www.zomato.com/mumbai/radha-krishna-ghatkopar-west/info"|"196"|"Casual Dining"|"630am to 12midnight(Mon-Sun)"|"Good"|"3.5"|"276"
"Vidarbh King Nagpuri Saoji"|"300"|"Maharashtrian"|"Mumbai"|"Majiwada-- Thane West"|"https://www.zomato.com/mumbai/vidarbh-king-nagpuri-saoji-majiwada-thane-west/info"|"196"|"Quick Bites"|"Closed(Mon),11am to 11pm(Tue-Sun)"|"Very Good"|"4.0"|"163"
"Paana's Hotel"|"400"|"North Indian,Seafood,Chinese"|"Mumbai"|"Virar"|"https://www.zomato.com/mumbai/paanas-hotel-2-virar/info"|"196"|"Quick Bites"|"1130am to 3pm,520pm to 1145pm(Mon,Tue,Thu..."|"Average"|"3.4"|"198"
"Om Sai Dham"|"300"|"North Indian"|"Mumbai"|"Chembur"|"https://www.zomato.com/mumbai/om-sai-dham-chembur/info"|"196"|"Quick Bites"|"11am to 10pm(Mon-Sun)"|"Good"|"3.8"|"100"
"Chunky's Cake Shop"|"300"|"Bakery"|"Mumbai"|"Malad West"|"https://www.zomato.com/mumbai/chunkys-cake-shop-malad-west/info"|"196"|"Bakery"|"9am to 11pm(Mon-Sun)"|"Good"|"3.7"|"74"
"Little Canteen"|"350"|"Italian,Fast Food,Beverages"|"Mumbai"|"Mira Road"|"https://www.zomato.com/mumbai/little-canteen-mira-road/info"|"196"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Good"|"3.6"|"41"
"Pizza Villa"|"400"|"Pizza,Fast Food"|"Mumbai"|"Virar"|"https://www.zomato.com/mumbai/pizza-villa-virar/info"|"196"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Good"|"3.6"|"33"
"De Goa Kitchen"|"700"|"Goan"|"Mumbai"|"Marol"|"https://www.zomato.com/mumbai/de-goa-kitchen-marol/info"|"196"|"none"|"11am to 1130pm(Mon-Sun)"|"Good"|"3.5"|"56"
"Asian Wok"|"800"|"Chinese,Thai,Seafood"|"Mumbai"|"Galleria Shopping Centre-- Powai"|"https://www.zomato.com/mumbai/asian-wok-powai/info"|"196"|"Casual Dining"|"12noon to 4pm,7pm to 12midnight(Mon-Sun)"|"Good"|"3.9"|"505"
"Chak De Dabbe"|"400"|"North Indian"|"Mumbai"|"Vashi"|"https://www.zomato.com/mumbai/chak-de-dabbe-vashi-navi-mumbai/info"|"196"|"none"|"10am to 11pm(Mon-Sun)"|"Average"|"3.3"|"16"
"Global Tadka"|"300"|"Chinese"|"Mumbai"|"Ulwe"|"https://www.zomato.com/mumbai/global-tadka-ulwe-navi-mumbai/info"|"196"|"Quick Bites"|"130pm to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Navratree"|"700"|"Chinese,North Indian,South Indian,Fast Food"|"Mumbai"|"Airoli"|"https://www.zomato.com/mumbai/navratree-airoli-navi-mumbai/info"|"197"|"Casual Dining"|"8am to 1130pm(Mon-Sun)"|"Good"|"3.7"|"397"
"Patil's Kitchen"|"250"|"North Indian"|"Mumbai"|"Kandivali East"|"https://www.zomato.com/mumbai/patils-kitchen-kandivali-east/info"|"197"|"Quick Bites"|"Closed(Mon),11am to 11pm(Tue-Sun)"|"Good"|"3.7"|"26"
"Steam Engine"|"600"|"American,North Indian,Chinese"|"Mumbai"|"Powai"|"https://www.zomato.com/mumbai/steam-engine-2-powai/info"|"197"|"Quick Bites"|"11am to 11pm(Mon-Thu),11am to 12midnight..."|"Very Good"|"4.4"|"96"
"Panshikar & Co."|"250"|"Maharashtrian,Mithai,Beverages"|"Mumbai"|"Dadar West"|"https://www.zomato.com/mumbai/panshikar-co-dadar-west/info"|"197"|"Quick Bites"|"730am to 9pm(Mon-Sat),Closed(Sun)"|"Very Good"|"4.0"|"95"
"Chawla Fast Food"|"400"|"North Indian,Chinese"|"Mumbai"|"Sion"|"https://www.zomato.com/mumbai/chawla-fast-food-sion/info"|"197"|"Quick Bites"|"8am to 3pm,4pm to 11pm(Mon-Sun)"|"Average"|"3.4"|"54"
"Cafe Meter On"|"500"|"Italian,Continental"|"Mumbai"|"Borivali West"|"https://www.zomato.com/mumbai/cafe-meter-on-1-borivali-west/info"|"197"|"Casual Dining"|"12noon to 11pm(Mon-Sun)"|"Good"|"3.8"|"238"
"Flavours Of China"|"800"|"Chinese,Thai"|"Mumbai"|"Malad West"|"https://www.zomato.com/mumbai/flavours-of-china-malad-west/info"|"197"|"Casual Dining"|"11am to 12midnight(Mon-Sun)"|"Good"|"3.5"|"242"
"All Things Delicious"|"400"|"Desserts,Bakery,Beverages,Fast Food"|"Mumbai"|"Mulund West"|"https://www.zomato.com/mumbai/all-things-delicious-mulund-west/info"|"197"|"Bakery"|"11am to 1130pm(Mon-Sun)"|"Good"|"3.8"|"54"
"Shree Tara"|"500"|"Chinese,North Indian,South Indian,Fast Food,Beverages"|"Mumbai"|"Mulund West"|"https://www.zomato.com/mumbai/shree-tara-mulund-west/info"|"197"|"Casual Dining"|"9am to 12midnight(Mon-Sun)"|"Good"|"3.7"|"160"
"Flavors Box"|"200"|"Desserts"|"Mumbai"|"Malad East"|"https://www.zomato.com/mumbai/flavors-box-malad-east/info"|"197"|"Dessert Parlor"|"9am to 1030pm(Mon-Sun)"|"Average"|"3.2"|"7"
"The Little Cart"|"100"|"Momos"|"Mumbai"|"Dahisar West"|"https://www.zomato.com/mumbai/the-little-cart-dahisar-west/info"|"197"|"Quick Bites"|"5pm to 10pm(Mon-Sun)"|"Average"|"3.4"|"14"
"Sunny"|"650"|"North Indian,Chinese,Mughlai,Seafood"|"Mumbai"|"Dombivali East"|"https://www.zomato.com/mumbai/sunny-dombivali-east/info"|"197"|"Casual Dining"|"11am to 12midnight(Mon-Sun)"|"Good"|"3.8"|"113"
"The Oriental Blossom - Marine Plaza"|"3200"|"Chinese,Seafood"|"Mumbai"|"Marine Plaza-- Marine Lines"|"https://www.zomato.com/mumbai/the-oriental-blossom-marine-plaza-churchgate/info"|"197"|"Fine Dining"|"1230pm to 245pm,730pm to 1145pm(Mon-Sun)"|"Very Good"|"4.2"|"407"
"Shikara"|"1300"|"North Indian,Mughlai,Chinese"|"Mumbai"|"Hotel Highway View-- Sanpada"|"https://www.zomato.com/mumbai/shikara-sanpada-navi-mumbai/info"|"197"|"Casual Dining"|"11am to 12midnight(Mon-Sun)"|"Good"|"3.9"|"470"
"Ruchi Veg Restaurant"|"500"|"Chinese,Fast Food,North Indian,South Indian"|"Mumbai"|"Goregaon East"|"https://www.zomato.com/mumbai/ruchi-veg-restaurant-goregaon-east/info"|"197"|"Casual Dining"|"930am to 12midnight(Mon-Sun)"|"Good"|"3.7"|"332"
"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Uttam Da Dhaba"|"600"|"North Indian,Chinese,Seafood"|"Mumbai"|"Marol"|"https://www.zomato.com/mumbai/uttam-da-dhaba-marol/info"|"198"|"Casual Dining"|"1130am to 330pm,730pm to 1130pm(Mon,Sun)..."|"Good"|"3.5"|"337"
"The China Lawn"|"500"|"Chinese,Thai"|"Mumbai"|"Mahakali"|"https://www.zomato.com/mumbai/the-china-lawn-mahakali/info"|"198"|"Quick Bites"|"12noon to 4pm,7pm to 12midnight(Mon-Sun)"|"Average"|"3.4"|"112"
"Pop Up Family Restaurant"|"700"|"Chinese,Thai"|"Mumbai"|"Majiwada-- Thane West"|"https://www.zomato.com/mumbai/pop-up-family-restaurant-majiwada-thane-west/info"|"198"|"Casual Dining"|"11am to 4pm,7pm to 12midnight(Mon-Sat),11am to ..."|"Good"|"3.8"|"68"
"Veg Treat Regalia"|"900"|"North Indian,Chinese,Italian,Mexican"|"Mumbai"|"Borivali West"|"https://www.zomato.com/mumbai/veg-treat-regalia-borivali-west/info"|"198"|"Casual Dining"|"1230pm to 330pm,7pm to 1130pm(Mon-Sun)"|"Good"|"3.8"|"204"
"The BoardRoom Cafe"|"800"|"Cafe"|"Mumbai"|"Kalyan"|"https://www.zomato.com/mumbai/the-boardroom-cafe-kalyan-thane/info"|"198"|"Café"|"1130am to 12midnight(Mon-Sun)"|"Good"|"3.9"|"490"
"Batata Fry"|"500"|"Fast Food,Beverages,Desserts"|"Mumbai"|"Airoli"|"https://www.zomato.com/mumbai/batata-fry-airoli-navi-mumbai/info"|"198"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Good"|"3.6"|"54"
"The Bakewell Bakery & Patisserie"|"250"|"Desserts,Bakery"|"Mumbai"|"Kopar Khairane"|"https://www.zomato.com/mumbai/the-bakewell-bakery-patisserie-kopar-khairane-navi-mumbai/info"|"198"|"Bakery"|"12noon to 1130pm(Mon-Sat),12noon to 12midnight..."|"Good"|"3.8"|"83"
"Applemint"|"200"|"Chinese"|"Mumbai"|"Kharghar"|"https://www.zomato.com/mumbai/applemint-kharghar-navi-mumbai/info"|"198"|"none"|"12noon to 11pm(Mon-Sun)"|"Good"|"3.5"|"57"
"Cakes N Bakes"|"250"|"Bakery"|"Mumbai"|"Kemps Corner"|"https://www.zomato.com/mumbai/cakes-n-bakes-kemps-corner/info"|"198"|"none"|"9am to 6pm(Mon-Sun)"|"Good"|"3.8"|"105"
"Aboos Darbar Restaurant (Neptune)"|"800"|"North Indian,Continental,Chinese,Mughlai"|"Mumbai"|"Marol"|"https://www.zomato.com/mumbai/aboos-darbar-restaurant-neptune-marol/info"|"198"|"Casual Dining"|"11am to 12midnight(Mon-Sun)"|"Good"|"3.7"|"67"
"Anna Snacks"|"200"|"South Indian"|"Mumbai"|"Airoli"|"https://www.zomato.com/mumbai/anna-snacks-airoli-navi-mumbai/info"|"198"|"Quick Bites"|"730am to 11pm(Mon-Sun)"|"Good"|"3.8"|"86"
"Sbarro"|"600"|"Italian,Pizza"|"Mumbai"|"Worli"|"https://www.zomato.com/mumbai/sbarro-worli/info"|"198"|"Casual Dining"|"11am to 11pm(Mon-Sat),11am to 12midnight(Sun)"|"Good"|"3.5"|"238"
"RV Cuisine"|"300"|"North Indian,Street Food"|"Mumbai"|"Borivali West"|"https://www.zomato.com/mumbai/rv-cuisine-borivali-west/info"|"198"|"Quick Bites"|"1230pm to 11pm(Mon-Sun)"|"Average"|"3.3"|"11"
"Potoba Foods"|"400"|"Fast Food,Street Food"|"Mumbai"|"Dombivali West"|"https://www.zomato.com/mumbai/potoba-foods-dombivali-west-thane/info"|"198"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Good"|"3.5"|"42"
"Ibiza Resto Bar & Cafe"|"800"|"North Indian,Chinese,Continental"|"Mumbai"|"Vashi"|"https://www.zomato.com/mumbai/ibiza-resto-bar-cafe-vashi-navi-mumbai/info"|"198"|"Casual Dining"|"12noon to 3pm,63pm to 12midnight(Mon),12noon..."|"Very Good"|"4.2"|"127"
"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Shree Om Dairy Farm"|"200"|"Beverages,Mithai"|"Mumbai"|"Vasai"|"https://www.zomato.com/mumbai/shree-om-dairy-farm-vasai/info"|"199"|"Beverage Shop"|"730am to 2pm,430pm to 10pm(Mon-Sun)"|"Average"|"3.4"|"29"
"Red Bowl"|"500"|"Chinese,Thai"|"Mumbai"|"Dombivali West"|"https://www.zomato.com/mumbai/red-bowl-1-dombivali-west-thane/info"|"199"|"Quick Bites"|"12noon to 330pm,7pm to 1130pm(Mon-Sun)"|"Good"|"3.8"|"81"
"Preeti Sandwich & Juice Centre"|"400"|"Fast Food,Beverages"|"Mumbai"|"Naupada-- Thane West"|"https://www.zomato.com/mumbai/preeti-sandwich-juice-centre-naupada-thane-west-thane/info"|"199"|"Quick Bites"|"330pm to 12midnight(Mon-Sun)"|"Good"|"3.8"|"147"
"Dumpling Khang"|"350"|"Chinese,Momos"|"Mumbai"|"Santacruz East"|"https://www.zomato.com/mumbai/dumpling-khang-santacruz-east/info"|"199"|"Casual Dining"|"1130am to 1130pm(Mon-Sun)"|"Good"|"3.9"|"372"
"Discovery Restaurant"|"600"|"Chinese,Thai"|"Mumbai"|"Andheri Lokhandwala-- Andheri West"|"https://www.zomato.com/mumbai/discovery-restaurant-andheri-lokhandwala/info"|"199"|"Casual Dining"|"11am to 1145pm(Mon-Sun)"|"Good"|"3.6"|"543"
"Ratna"|"500"|"North Indian,South Indian,Chinese"|"Mumbai"|"Goregaon West"|"https://www.zomato.com/mumbai/ratna-goregaon-west/info"|"199"|"Casual Dining"|"7am to 12midnight(Mon-Sun)"|"Good"|"3.6"|"287"
"Sindhi Tadka"|"1000"|"North Indian"|"Mumbai"|"Chembur"|"https://www.zomato.com/mumbai/sindhi-tadka-1-chembur/info"|"199"|"Quick Bites"|"10am to 2pm,4pm to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Choclato"|"350"|"Desserts,Bakery,Fast Food"|"Mumbai"|"Dahisar West"|"https://www.zomato.com/mumbai/choclato-dahisar-west/info"|"199"|"Dessert Parlor"|"9am to 11pm(Mon-Sun)"|"Good"|"3.6"|"135"
"Rollampol"|"300"|"Rolls,Kebab"|"Mumbai"|"Andheri Lokhandwala-- Andheri West"|"https://www.zomato.com/mumbai/rollampol-andheri-lokhandwala/info"|"199"|"Quick Bites"|"12noon to 3pm,730pm to 1130pm(Mon,Tue,Wed..."|"Very Good"|"4.1"|"27"
"Hotel Spice Chilly"|"300"|"Chinese"|"Mumbai"|"Kalyan"|"https://www.zomato.com/mumbai/hotel-spice-chilly-2-kalyan-thane/info"|"199"|"Quick Bites"|"12noon to 12midnight(Mon-Sun)"|"Good"|"3.6"|"50"
"Cafe Arpan"|"250"|"Cafe,Fast Food"|"Mumbai"|"Juhu"|"https://www.zomato.com/mumbai/cafe-arpan-1-juhu/info"|"199"|"Café"|"Closed(Mon),11am to 8pm(Tue-Sun)"|"Very Good"|"4.1"|"95"
"Flavours Of China"|"850"|"Chinese,Thai"|"Mumbai"|"Dadar West"|"https://www.zomato.com/mumbai/flavours-of-china-dadar-west/info"|"199"|"Casual Dining"|"12noon to 4pm,7pm to 1130pm(Mon-Sun)"|"Good"|"3.9"|"307"
"Ranjana's Rannaghor"|"300"|"Bengali,Fast Food,Desserts"|"Mumbai"|"Sakinaka"|"https://www.zomato.com/mumbai/ranjanas-rannaghor-sakinaka/info"|"199"|"none"|"11am to 330pm,7pm to 1130pm(Mon-Thu),11am to ..."|"Average"|"3.4"|"13"
"Sardar G The Punjabi Dhaba"|"400"|"North Indian,Street Food"|"Mumbai"|"Kamothe"|"https://www.zomato.com/mumbai/sardar-g-the-punjabi-dhaba-kamothe-navi-mumbai/info"|"199"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.3"|"230"
"Tulsi"|"700"|"Chinese,Italian,Fast Food"|"Mumbai"|"Kandivali West"|"https://www.zomato.com/mumbai/tulsi-kandivali-west/info"|"199"|"Casual Dining"|"12noon to 12midnight(Mon-Sun)"|"Average"|"2.5"|"543"
"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"The Bandra Project by PizzaExpress"|"1600"|"Italian,Pizza"|"Mumbai"|"Pali Hill-- Bandra West"|"https://www.zomato.com/mumbai/the-bandra-project-by-pizzaexpress-pali-hill-bandra-west/info"|"2"|"Casual Dining"|"830am to 1am(Mon-Sun)"|"Very Good"|"4.3"|"4654"
"Nara"|"1800"|"Thai"|"Mumbai"|"Bandra Kurla Complex"|"https://www.zomato.com/mumbai/nara-bandra-kurla-complex/info"|"2"|"Casual Dining"|"12noon to 4pm,7pm to 1am(Mon-Sun)"|"Very Good"|"4.4"|"1367"
"Glocal Junction"|"1600"|"Continental,North Indian,European,Finger Food"|"Mumbai"|"Worli"|"https://www.zomato.com/mumbai/glocal-junction-worli/info"|"2"|"Casual Dining"|"12noon to 1am(Mon-Sun)"|"Very Good"|"4.4"|"2293"
"Breeze Lounge"|"2400"|"Italian,Mediterranean,Salad"|"Mumbai"|"Powai"|"https://www.zomato.com/mumbai/breeze-lounge-powai/info"|"2"|"Lounge"|"12noon to 130am(Mon-Sun)"|"Very Good"|"4.2"|"4605"
"The Little Easy"|"1500"|"Finger Food,Asian,Modern Indian,Italian,Mediterranean"|"Mumbai"|"Linking Road-- Bandra West"|"https://www.zomato.com/mumbai/the-little-easy-linking-road-bandra-west/info"|"2"|"Casual Dining"|"12noon to 1am(Mon-Sun)"|"Very Good"|"4.3"|"2256"
